Date,Unix,Ticker,Price,stock_p_change,SP500,SP500_p_change,Market Cap,Enterprise Value,Trailing P/E,Forward P/E,PEG Ratio,Price/Sales,Price/Book,Enterprise Value/Revenue,Enterprise Value/EBITDA,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue,Revenue Per Share,Quarterly Revenue Growth,Gross Profit,EBITDA,Net Income Avi to Common,Diluted EPS,Quarterly Earnings Growth,Total Cash,Total Cash Per Share,Total Debt,Total Debt/Equity,Current Ratio,Book Value Per Share,Operating Cash Flow,Levered Free Cash Flow,Beta,50-Day Moving Average,200-Day Moving Average,Avg Vol (3 month),Shares Outstanding,Float,% Held by Insiders,% Held by Institutions,Shares Short,Short Ratio,Short % of Float,Shares Short (prior month
0,0,NBR,0,0,0,0,118470000.0,3020000000.0,N/A,N/A,N/A,0.03,0.08,1.02,13.26,-32.98,-3.28,-0.86,-37.08,2960000000.0,420.67,-10.2,1110000000.0,787670000.0,-1010000000.0,-144.11,N/A,489660000.0,69.44,3390000000.0,163.6,2.17,220.67,N/A,N/A,2.69,16.72,83.22,8390000.0,8390000.0,6130000.0,7.03,68.67,1500000.0,2.84,25.99,N/A
0,0,NDAQ,0,0,0,0,17610000000.0,20760000000.0,24.56,19.84,1.11,3.91,3.26,4.54,16.31,15.95,25.07,4.89,13.4,4580000000.0,27.76,30.2,2540000000.0,1340000000.0,730000000.0,4.37,-17.8,1110000000.0,6.76,4480000000.0,82.92,0.97,32.83,1010000000.0,765250000.0,0.75,102.31,105.26,1210000.0,164070000.0,114400000.0,18.68,79.35,2800000.0,2.85,2.44,3150000.0
0,0,NE,0,0,0,0,54710000.0,3790000000.0,N/A,N/A,N/A,0.04,0.01,2.91,-2.83,-136.16,4.77,0.45,-52.09,1240000000.0,4.98,-1.2,547720000.0,493630000.0,-1690000000.0,-6.786,N/A,175930000.0,0.7,3950000000.0,152.26,0.94,10.35,226740000.0,38970000.0,2.48,0.2443,0.7822,5760000.0,250950000.0,223850000.0,1.8,83.14,25740000.0,4.45,12.33,26850000.0
0,0,NEE,0,0,0,0,109870000000.0,153740000000.0,31.13,24.75,2.52,5.55,3.02,7.79,14.49,17.78,30.76,3.31,7.82,19740000000.0,40.73,13.2,11290000000.0,10610000000.0,3510000000.0,7.2,-38.1,3340000000.0,6.81,47210000000.0,114.82,0.71,74.38,8449999999.999999,-6170000000.0,0.21,231.36,241.98,3530000.0,489450000.0,488200000.0,0.18,81.04,5730000.0,1.91,1.17,6390000.0
0,0,NEM,0,0,0,0,51810000000.0,54800000000.0,13.62,32.57,1.14,4.95,2.38,5.21,8.14,33.66,17.91,3.89,21.28,10520000000.0,13.09,43.2,4380000000.0,4200000000.0,3600000000.0,4.41,844.8,3880000000.0,4.84,6870000000.0,30.17,3.31,27.19,3230000000.0,1710000000.0,0.4,56.17,45.99,10100000.0,802590000.0,799810000.0,0.38,85.93,14460000.0,1.67,2.43,12910000.0
0,0,NFLX,0,0,0,0,191560000000.0,201070000000.0,88.17,68.97,2.89,9.2,22.78,9.39,15.69,10.43,14.5,6.23,31.63,21400000000.0,48.82,27.6,7720000000.0,3210000000.0,2230000000.0,4.94,106.1,5150000000.0,11.72,16270000000.0,193.42,0.82,19.12,-2250000000.0,11260000000.0,0.97,400.92,348.88,8840000.0,439800000.0,433580000.0,1.62,83.49,13460000.0,1.27,3.13,15630000.0
0,0,NFX,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,0,NI,0,0,0,0,8770000000.0,19310000000.0,47.71,17.42,3.6,1.75,1.8,3.91,14.03,4.85,27.26,3.79,4.16,4940000000.0,13.11,-14.1,2340000000.0,2020000000.0,184700000.0,0.48,-65.5,203800000.0,0.53,10130000000.0,176.37,0.77,12.7,1550000000.0,-1540000000.0,0.24,24.71,26.84,4130000.0,382800000.0,381150000.0,0.38,94.63,6740000.0,2.23,2.37,5650000.0
0,0,NILE,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,0,NKE,0,0,0,0,140670000000.0,144140000000.0,33.38,33.44,2.82,3.5,15.55,3.49,23.03,10.46,12.55,13.18,47.96,41270000000.0,26.42,5.1,17470000000.0,5860000000.0,4320000000.0,2.71,-23.1,3180000000.0,2.05,6660000000.0,73.59,1.9,5.82,4500000000.0,2950000000.0,0.76,84.86,92.18,10460000.0,1240000000.0,1230000000.0,1.17,85.83,11780000.0,1.46,1.31,11960000.0
